                   0 op=0, i=0000, in=0, out=x, q=xxxx
                   5 op=0, i=0000, in=0, out=0, q=xxxx
                  24 op=0, i=1001, in=0, out=0, q=xxxx
                  45 op=0, i=1001, in=0, out=1, q=xxxx
                  55 op=0, i=1001, in=0, out=0, q=xxxx
                  75 op=0, i=1001, in=0, out=1, q=xxxx
                  84 op=1, i=0000, in=0, out=1, q=xxxx
                  85 op=1, i=0000, in=0, out=1, q=0000
                  96 op=1, i=0000, in=1, out=1, q=0000
                 108 op=1, i=0000, in=0, out=1, q=0000
                 132 op=1, i=0000, in=1, out=1, q=0000
                 135 op=1, i=0000, in=1, out=1, q=0010
                 144 op=2, i=0000, in=0, out=1, q=0010
                 145 op=2, i=0000, in=0, out=1, q=0000
                 156 op=2, i=1101, in=0, out=1, q=0000
                 175 op=2, i=1101, in=0, out=1, q=1101
                 185 op=2, i=1101, in=0, out=1, q=0000
                 192 op=2, i=1011, in=0, out=1, q=0000
                 205 op=2, i=1011, in=0, out=1, q=1011
                 216 op=3, i=0000, in=0, out=1, q=1011
                 225 op=3, i=0000, in=0, out=0, q=1011
                 228 op=3, i=0000, in=1, out=0, q=1011
                 240 op=3, i=0000, in=0, out=0, q=1011
                 264 op=3, i=0000, in=1, out=0, q=1011
                 312 op=4, i=0000, in=0, out=0, q=1011
                 315 op=4, i=0000, in=0, out=0, q=0000
                 324 op=4, i=1001, in=0, out=0, q=0000
                 345 op=4, i=1001, in=0, out=0, q=1001
                 348 op=5, i=1001, in=0, out=0, q=1001
                 355 op=5, i=1001, in=0, out=0, q=0000
                 375 op=5, i=1001, in=0, out=0, q=1001
                 384 op=6, i=1001, in=0, out=0, q=1001
                 385 op=6, i=1001, in=0, out=0, q=0000
                 415 op=6, i=1001, in=0, out=0, q=1001
                 420 op=7, i=1001, in=0, out=0, q=1001
                 425 op=7, i=1001, in=0, out=0, q=0000
                 445 op=7, i=1001, in=0, out=0, q=1001
                 455 op=7, i=1001, in=0, out=0, q=0100
                 465 op=7, i=1001, in=0, out=0, q=0010
                 475 op=7, i=1001, in=0, out=0, q=0001
                 485 op=7, i=1001, in=0, out=0, q=0000
                 492 op=1, i=0000, in=0, out=0, q=0000
                 504 op=1, i=0000, in=1, out=0, q=0000
                 516 op=1, i=0000, in=0, out=0, q=0000
                 540 op=1, i=0000, in=1, out=0, q=0000
                 545 op=1, i=0000, in=1, out=0, q=0110
                 555 op=1, i=0000, in=1, out=0, q=0000
