                   0clock=0,reset=0,enable_ex=x,src1=x,src2=x,imm=x,mem_data_read_in=x,control_in=x,mem_data_wr_en=x,mem_data_write_out=x,aluout=0,carry=0 
                   4clock=0,reset=0,enable_ex=x,src1=303379748,src2=-1064739199,imm=-2071669239,mem_data_read_in=x,control_in=0,mem_data_wr_en=0,mem_data_write_out=-1064739199,aluout=0,carry=0 
                   5clock=1,reset=0,enable_ex=x,src1=303379748,src2=-1064739199,imm=-2071669239,mem_data_read_in=x,control_in=0,mem_data_wr_en=0,mem_data_write_out=-1064739199,aluout=0,carry=0 
                  10clock=0,reset=1,enable_ex=0,src1=303379748,src2=-1064739199,imm=-2071669239,mem_data_read_in=x,control_in=0,mem_data_wr_en=0,mem_data_write_out=-1064739199,aluout=0,carry=0 
                  15clock=1,reset=1,enable_ex=0,src1=303379748,src2=-1064739199,imm=-2071669239,mem_data_read_in=x,control_in=0,mem_data_wr_en=0,mem_data_write_out=-1064739199,aluout=0,carry=0 
                  20clock=0,reset=1,enable_ex=1,src1=303379748,src2=-1064739199,imm=-2071669239,mem_data_read_in=x,control_in=0,mem_data_wr_en=0,mem_data_write_out=-1064739199,aluout=0,carry=0 
                  24clock=0,reset=1,enable_ex=1,src1=-1309649309,src2=112818957,imm=1189058957,mem_data_read_in=x,control_in=1,mem_data_wr_en=0,mem_data_write_out=112818957,aluout=0,carry=0 
                  25clock=1,reset=1,enable_ex=1,src1=-1309649309,src2=112818957,imm=1189058957,mem_data_read_in=x,control_in=1,mem_data_wr_en=0,mem_data_write_out=112818957,aluout=0,carry=0 
                  30clock=0,reset=1,enable_ex=1,src1=-1309649309,src2=112818957,imm=1189058957,mem_data_read_in=x,control_in=1,mem_data_wr_en=0,mem_data_write_out=112818957,aluout=0,carry=0 
                  35clock=1,reset=1,enable_ex=1,src1=-1309649309,src2=112818957,imm=1189058957,mem_data_read_in=x,control_in=1,mem_data_wr_en=0,mem_data_write_out=112818957,aluout=-1196830352,carry=1 
                  40clock=0,reset=1,enable_ex=1,src1=-1309649309,src2=112818957,imm=1189058957,mem_data_read_in=x,control_in=1,mem_data_wr_en=0,mem_data_write_out=112818957,aluout=-1196830352,carry=1 
                  44clock=0,reset=1,enable_ex=1,src1=-1295874971,src2=-1992863214,imm=15983361,mem_data_read_in=x,control_in=10,mem_data_wr_en=0,mem_data_write_out=-1992863214,aluout=-1196830352,carry=1 
                  45clock=1,reset=1,enable_ex=1,src1=-1295874971,src2=-1992863214,imm=15983361,mem_data_read_in=x,control_in=10,mem_data_wr_en=0,mem_data_write_out=-1992863214,aluout=-1196830352,carry=1 
                  50clock=0,reset=1,enable_ex=1,src1=-1295874971,src2=-1992863214,imm=15983361,mem_data_read_in=x,control_in=10,mem_data_wr_en=0,mem_data_write_out=-1992863214,aluout=-1196830352,carry=1 
                  55clock=1,reset=1,enable_ex=1,src1=-1295874971,src2=-1992863214,imm=15983361,mem_data_read_in=x,control_in=10,mem_data_wr_en=0,mem_data_write_out=-1992863214,aluout=-1196830352,carry=1 
